image_id,x,y,width,height,english_text,hindi_text,bengali_text,malayalam_text,odia_text
2853,238,215,121,97,a bunch of books on book stand,पुस्तक स्टैंड पर पुस्तकों का एक गुच्छा,বইয়ের স্ট্যান্ডে একগুচ্ছ বই,ബുക്ക് സ്റ്റാൻഡിലെ ഒരു കൂട്ടം പുസ്തകങ്ങൾ,ପୁସ୍ତକ ଷ୍ଟାଣ୍ଡରେ ଏକ ପୁସ୍ତକ |
2399123,128,19,16,25,gold religious cross on top of golden ball,स्वर्ण गेंद के शीर्ष पर स्वर्ण धार्मिक क्रॉस,সোনার বলের উপরে সোনার ধর্মীয় ক্রস,സ്വർണ്ണ പന്തിന്റെ മുകളിൽ സ്വർണ്ണ മത കുരിശ്,ସୁବର୍ଣ୍ଣ ବଲ ଉପରେ ସୁନା ଧାର୍ମିକ କ୍ରସ୍ |
2358957,292,155,16,119,Candle on glass candle stand,कांच के मोमबत्ती स्टैंड पर मोमबत्ती,গ্লাস মোমবাতি স্ট্যান্ডে মোমবাতি,ഗ്ലാസ് മെഴുകുതിരി സ്റ്റാൻഡിൽ മെഴുകുതിരി,କାଚ ମହମବତୀ ଷ୍ଟାଣ୍ଡରେ ମହମବତୀ |
2373836,46,0,452,112,a blue wall beside tennis court,टेनिस कोर्ट के बगल में एक नीली दीवार,টেনিস কোর্টের পাশে একটি নীল প্রাচীর,ടെന്നീസ് കോർട്ടിന് സമീപം ഒരു നീല മതിൽ,ଟେନିସ୍ କୋର୍ଟ ପାଖରେ ଏକ ନୀଳ କାନ୍ଥ |
2378828,221,92,54,42,fine thin red hair,सूक्ष्म पतले लाल बाल,সূক্ষ্ম পাতলা লাল চুল,നേർത്ത ചുവന്ന മുടി,ସୂକ୍ଷ୍ମ ଲାଲ କେଶ |
2381574,183,142,42,101,front springs of motocross motorcycle,मोटोक्रॉस मोटरसाइकिल के सामने स्प्रिंग्स,মোটরক্রস মোটরসাইকেলের সামনের স্প্রিংস,മോട്ടോക്രോസ്സ് മോട്ടോർസൈക്കിളിന്റെ മുൻപിലുള്ള സ്പ്രിങ്ങുകൾ,ମୋଟୋକ୍ରସ୍ ମୋଟରସାଇକେଲର ଆଗ ସ୍ପ୍ରିଙ୍ଗ |
2372733,26,107,152,218,the tennis court is made up of sand and dirt,य़ह टेनिस कोर्ट रेत और धूल से बना है,টেনিস কোর্ট বালু এবং ময়লা দিয়ে গঠিত,ടെന്നീസ് കോർട്ട് മണലും അഴുക്കും ചേർന്നതാണ്,ଟେନିସ୍ କୋର୍ଟ ବାଲି ଏବଂ ମଇଳା ଦ୍ୱାରା ଗଠିତ |
2359939,366,145,42,60,court attendant sitting in chair,कुर्सी पर बैठे क़ोर्ट ऍटेंन्डेंट,চেয়ারে বসে কোর্ট অ্যাটেন্ডেন্ট,കോർട്ട് അറ്റൻഡന്റ് കസേരയിൽ ഇരിക്കുന്നു,ଚେୟାରରେ ବସିଥିବା କୋର୍ଟ ସେବକ |
2407154,28,369,11,52,a cross on the top of a spire,एक शिखर के शीर्ष पर एक क्रॉस,একটি বীর্যের শীর্ষে একটি ক্রস,ഒരു സ്പൈറിന്റെ മുകളിൽ ഉള്ള ഒരു കുരിശ്,ଏକ ସ୍ପାୟାର ଉପରେ ଏକ କ୍ରସ୍ |
3510,234,288,85,78,the cross is black,क्रॉस काला है,ক্রস কালো হয়,കുരിശ് കറുത്തതാണ്,କ୍ରୁଶ କଳା ଅଟେ
713885,903,306,118,74,press box on tennis court,टेनिस कोर्ट पर प्रेस बॉक्स,টেনিস কোর্টে প্রেস বক্স,ടെന്നീസ് കോർട്ടിലെ പ്രസ്സ് ബോക്സ്,ଟେନିସ୍ କୋର୍ଟରେ ପ୍ରେସ୍ ବାକ୍ସ |
2407185,45,27,453,131,the characters are chinese,य़ह पात्र चीनी हैं,চরিত্রগুলি চীনা,പ്രതീകങ്ങൾ ചൈനീസ് ആണ്,ଅକ୍ଷରଗୁଡିକ ଚାଇନିଜ୍ |
2358988,298,353,195,20,date and time of photo,फोटो की तारीख और समय,তারিখ এবং ছবির সময়,ഫോട്ടോയുടെ തീയതിയും സമയവും,ଫଟୋ ତାରିଖ ଏବଂ ସମୟ |
2411002,328,42,149,285,Luggage sign in english and spanish,सामान का चिह्न अंग्रेजी और स्पेनिश में,লাগেজ সাইন ইন ইংলিশ এবং স্প্যানিশ,ലഗ്ഗേജ് ചിഹ്നം ഇംഗ്ലീഷിലും സ്പാനിഷിലും,ଇଂରାଜୀ ଏବଂ ସ୍ପାନିଶରେ ଲଗେଜ୍ ଚିହ୍ନ |
2379342,231,244,110,86,box springs on bottom of bed,बिस्तर के तल पर बॉक्स स्प्रिंग्स,বিছানার নীচে বক্স স্প্রিংস,കിടക്കയുടെ അടിയിൽ ബോക്സ് സ്പ്രിങ്ങുകൾ,ଶଯ୍ୟା ତଳେ ବାକ୍ସ ସ୍ପ୍ରିଙ୍ଗଗୁଡିକ |
2335357,295,258,140,67,box springs with flower print,फूल के प्रिंट के साथ बॉक्स स्प्रिंग्स,ফুলের মুদ্রণ সহ বক্স স্প্রিংস,പുഷ്പ പ്രിന്റുള്ള ബോക്സ് സ്പ്രിങ്ങുകൾ,ଫୁଲ ପ୍ରିଣ୍ଟ ସହିତ ବାକ୍ସ ସ୍ପ୍ରିଙ୍ଗ |
2372500,33,249,314,70,fork under english muffin,अंग्रेजी मफिन के नीचे कांटा,ইংরেজি মাফিনের নীচে কাঁটাচামচ,ഇംഗ്ലീഷ് മഫിന് കീഴിലുള്ള ഫോർക്ക്,ଇଂରାଜୀ ମଫିନ୍ ତଳେ ଫୋର୍କ |
2407547,79,61,319,265,there are two players in the court,क़ोर्ट में दो खिलाड़ी हैं,কোর্টে দুজন খেলোয়াড় আছেন,കോർട്ടിൽ രണ്ട് കളിക്കാരുണ്ട്,କୋର୍ଟରେ ଦୁଇଜଣ ଖେଳାଳୀ ଅଛନ୍ତି |
2353864,21,224,52,117,a man trying to cross,पार करने की कोशिश कर रहा एक आदमी,একজন লোক ক্রস করার চেষ্টা করছে,കടക്കാൻ ശ്രമിക്കുന്ന ഒരാൾ,ଜଣେ ବ୍ୟକ୍ତି ପାର ହେବାକୁ ଚେଷ୍ଟା କରୁଛନ୍ତି |
1239,167,446,37,46,people on the second level,दूसरे स्तर पर लोग,দ্বিতীয় স্তরের লোকেরা,രണ്ടാമത്തെ ലെവലിലെ ആളുകൾ,ଦ୍ୱିତୀୟ ସ୍ତରର ଲୋକମାନେ |
2406955,301,13,83,10,Name and date stamp on picture,तस्वीर पर नाम और तारीख की मोहर,ছবিতে নাম এবং তারিখের স্ট্যাম্প,ചിത്രത്തിലെ പേരും തീയതി സ്റ്റാമ്പും,ଛବି ଉପରେ ନାମ ଏବଂ ତାରିଖ ଷ୍ଟାମ୍ପ୍ |
2368444,7,83,67,28,A stand of trees.,पेड़ों का एक झाड़।,গাছের একটি স্ট্যান্ড।,മരങ്ങളുടെ സ്റ്റാന്റ്.,ଗଛର ଏକ ଷ୍ଟାଣ୍ଡ |
2402845,224,77,39,29,umbrella to block sun,सूरज को अवरुद्ध करने के लिए छाता,ছাতা রোদে ব্লক করতে,സൂര്യനെ തടയാനുള്ള കുട,ସୂର୍ଯ୍ୟଙ୍କୁ ଅବରୋଧ କରିବା ପାଇଁ ଛତା |
772,70,322,45,100,the woman is waiting to cross the street,एक महिला सड़क पार करने के लिए इंतजार कर रही है,মহিলা রাস্তায় পারাপারের জন্য অপেক্ষা করছেন,തെരുവ് മുറിച്ചുകടക്കാൻ കാത്തിരിക്കുന്ന സ്ത്രീ,ମହିଳା ଜଣକ ରାସ୍ତାରେ ଯିବାକୁ ଅପେକ୍ଷା କରିଛନ୍ତି
2388688,86,3,371,493,the lady appears to be going cross country skiing,महिला क्रॉस कंट्री स्कीइंग करती दिख रही है,ভদ্রমহিলা মনে হয় ক্রস কান্ট্রি স্কিইং যাচ্ছেন,ലേഡി ക്രോസ് കണ്ട്രി സ്കീയിംഗിന് പോകുന്നതായി തോന്നുന്നു,ଲେଡି କ୍ରସ୍ ଦେଶ ସ୍କିକିଂ କରୁଥିବା ଜଣାପଡିଛି |
